Year,Donor,Donor type,Paid,Pledged,Total
2024,Algeria,Member State,20000,0,20000
2024,Andorra,Member State,10736,0,10736
2024,Armenia,Member State,5000,0,5000
2024,Australia,Member State,11546812,0,11546812
2024,Austria,Member State,1032400,0,1032400
2024,Azerbaijan,Member State,50000,0,50000
2024,Bangladesh,Member State,25000,0,25000
2024,Basque Agency for Development Cooperation,Regional/ Local Authorities,266180,0,266180
2024,Belgian Government of Flanders,Regional/ Local Authorities,646080,0,646080
2024,Belgium,Member State,18320900,0,18320900
2024,Cambodia,Member State,30000,0,30000
2024,Canada,Member State,21763268,0,21763268
2024,Catalan Agency for Development Cooperation,Regional/ Local Authorities,319782,0,319782
2024,China,Member State,450000,0,450000
2024,Croatia,Member State,108410,0,108410
2024,Cyprus,Member State,161000,0,161000
2024,Denmark,Member State,33336460,0,33336460
2024,Estonia,Member State,55380,0,55380
2024,Finland,Member State,8652800,0,8652800
2024,France,Member State,6966773,0,6966773
2024,Germany,Member State,109308050,0,109308050
2024,Greece,Member State,106560,0,106560
2024,Iceland,Member State,1385163,0,1385163
2024,Indonesia,Member State,220000,0,220000
2024,Ireland,Member State,20510459,0,20510459
2024,Italy,Member State,10815000,0,10815000
2024,Japan,Member State,66978,0,66978
2024,Republic of Korea,Member State,18000000,0,18000000
2024,Kuwait,Member State,1000000,0,1000000
2024,Latvia,Member State,51885,0,51885
2024,Liechtenstein,Member State,328587,0,328587
2024,Lithuania,Member State,110290,0,110290
2024,Luxembourg,Member State,5989100,0,5989100
2024,Malta,Member State,42948,0,42948
2024,Moldova,Member State,2000,0,2000
2024,Monaco,Member State,264940,0,264940
2024,Montenegro,Member State,5511,0,5511
2024,Morocco,Member State,50000,0,50000
2024,Netherlands,Member State,70084500,0,70084500
2024,New Zealand,Member State,1839600,0,1839600
2024,Norway,Member State,42753298,0,42753298
2024,Peru,Member State,5033,0,5033
2024,Philippines,Member State,200000,0,200000
2024,Poland,Member State,1371422,0,1371422
2024,Portugal,Member State,273100,0,273100
2024,Qatar,Member State,1000000,0,1000000
2024,Russian Federation,Member State,1500000,0,1500000
2024,Saudi Arabia,Member State,1000000,0,1000000
2024,Singapore,Member State,50000,0,50000
2024,Slovenia,Member State,86976,0,86976
2024,South Africa,Member State,167603,0,167603
2024,Spain,Member State,4828326,0,4828326
2024,Sweden,Member State,69532322,0,69532322
2024,Switzerland,Member State,5677946,0,5677946
2024,Thailand,Member State,40000,0,40000
2024,Türkiye,Member State,700000,0,700000
2024,Turkmenistan,Member State,50000,0,50000
2024,United Kingdom,Member State,65937570,0,65937570
2024,United States of America,Member State,27850000,0,27850000
2024,Vietnam,Member State,10000,0,10000
2024,Kyrgyzstan,Member State,500,0,500
2024,"Stripe, Ireland",Private,242080,0,242080
2024,Qatar Charity,Private,9000000,0,9000000
2024,Burkina Faso,Member State,15923,0,15923
2024,Zimbabwe,Member State,10000,0,10000
2024,Chad,Member State,0,50000,50000
2024,"Funding under $10,000",Private,65496,0,65496
